Callsign aircraft ahead,Callsign aircraft behind,Distance [NM],Type of loss,Time [hh:mm:ss:fff],Zone,SID aircraft ahead,SID aircraft behind,Group SID aircraft ahead,Group SID aircraft behind,Type aircraft ahead,Type aircraft behind,Airline aircraft ahead,Airline aircraft behind
"EWG1BL","VOE23TA","3,20","LoA","08:00:52:250","TWR","OLOXO1Q","GRAUS5Q","SID_24_1","SID_24_1","A320","A319","Eurowings","Volotea"
"VOE23TA","TRA3A","3,42","LoA","08:02:12:257","TWR","GRAUS5Q","OLOXO1Q","SID_24_1","SID_24_1","A319","B738","Volotea","Transavia"
"SWR71LU","AUA39H","4,71","LoA","08:11:32:390","TWR","DALIN4Q","AGENA5Q","SID_24_3","SID_24_3","A321","A321","Swiss International Air Lines","Austrian Airlines"
"RYR87QD","BAW473","2,85","Radar","08:20:32:609","TWR","AGENA5Q","NATPI2Q","SID_24_3","SID_24_1","B38M","A21N","Ryanair","British Airways"
"RYR87QD","BAW473","2,85","LoA","08:20:32:609","TWR","AGENA5Q","NATPI2Q","SID_24_3","SID_24_1","B38M","A21N","Ryanair","British Airways"
"RYR87QD","BAW473","2,88","Radar","08:20:36:609","TMA","AGENA5Q","NATPI2Q","SID_24_3","SID_24_1","B38M","A21N","Ryanair","British Airways"
"ASL79V","FIN07RT","4,97","LoA","08:23:48:687","TWR","DIPES1Q","AGENA5Q","SID_24_3","SID_24_3","A320","A321","ASL Airlines","Finnair"
"EZY16QD","VLG2KX","3,44","LoA","08:42:29:210","TWR","NATPI2Q","OLOXO1Q","SID_24_1","SID_24_1","A320","A321","easyJet","Vueling"
"AEE711","WZZ46","4,73","LoA","09:42:42:382","TWR","DIPES1Q","AGENA5Q","SID_24_3","SID_24_3","A21N","A21N","Aegean Airlines","Wizz Air"
"VLG4HF","N904TS","4,48","LoA","10:30:55:242","TWR","DIPES1Q","LARPA5Q","SID_24_3","SID_24_2","A321","GLF4","Vueling","Unknown"
"BAW485","VLG2MJ","3,96","LoA","11:26:36:109","TWR","NATPI2Q","GRAUS5Q","SID_24_1","SID_24_1","A319","A320","British Airways","Vueling"
"EJU48RE","AHY046","3,87","LoA","11:37:04:156","TWR","DALIN4Q","DIPES1Q","SID_24_3","SID_24_3","A320","A320","easyJet Europe","Azerbaijan Airlines"
"AHY046","RYR6UL","4,13","LoA","11:38:36:187","TWR","DIPES1Q","AGENA5Q","SID_24_3","SID_24_3","A320","B738","Azerbaijan Airlines","Ryanair"
"VLG3VF","RYR426G","4,15","LoA","11:44:00:234","TWR","DIPES1Q","DALIN4Q","SID_24_3","SID_24_3","A320","B738","Vueling","Ryanair"
