Aircraft ID,Heading Difference [°],Roll Angle [°],Aircraft latitude [°],Aircraft longitude [°],Altitude [ft],Time [hh:mm:ss:fff],Radial to DVOR BCN,Uncompliment with SID,SID,Grupo SID,Aircraft type,Airline
"EWG1BL","0,878625000000028","0","41,1819920281127","2,03573150488084","4500,5024","08:01:40:242","203,442583659655","False","OLOXO1Q","SID_24_1","A320","Eurowings"
"VOE23TA","0,731500000000011","-11,77734375","41,2818531691966","2,07287605894585","493,999999999999","08:00:40:000","226,107832187861","False","GRAUS5Q","SID_24_1","A319","Volotea"
"TRA3A","0,111375000000038","-14,23828125","41,2788629090395","2,0647877328536","770","08:02:08:000","228,861286064421","False","OLOXO1Q","SID_24_1","B738","Transavia"
"VLG836M","1,40524999999997","0","41,2808352457455","2,06993581545015","534,280639999999","08:04:08:601","227,290348822027","False","DIPES1Q","SID_24_3","A320","Vueling"
"AAL743","0,111375000000038","-21,4453125","41,279814477937","2,06726509627929","468,999999999999","08:05:32:000","228,148040104836","False","LOBAR6Q","SID_24_1","B788","American Airlines"
"AFR67FJ","2,06387499999997","0","41,282951794954","2,07637930720597","482,004799999999","08:08:00:656","224,353005258738","False","OLOXO1Q","SID_24_1","BCS3","Air France"
"SWR71LU","2,58774999999997","0","41,279470442082","2,06602909338533","783,142719999999","08:09:44:750","228,646582587504","False","DALIN4Q","SID_24_3","A321","Swiss International Air Lines"
"AUA39H","0,833249999999993","0","41,2838106524711","2,07852134436579","281,191999999999","08:11:12:718","223,367523427979","False","AGENA5Q","SID_24_3","A321","Austrian Airlines"
"N501MG","1,21962499999998","0","41,2810934200754","2,07321534845489","850","08:14:24:812","224,979510008788","False","SENIA5Q","SID_24_2","GLEX","Unknown"
"IBE30KE","0,671000000000021","-9,66796875","41,2824467320694","2,07565212044532","568,999999999999","08:15:56:000","224,41596030688","False","SENIA5Q","SID_24_2","A20N","Iberia"
"VLG9ZT","0,878624999999971","0","41,2843322256476","2,08007604340607","102,453119999999","08:17:36:859","222,455167847824","False","LOTOS5Q","SID_24_2","A320","Vueling"
"RYR87QD","1,23062499999997","0","41,2794545205915","2,06576224990824","581,029439999999","08:19:16:976","228,811187848893","False","AGENA5Q","SID_24_3","B38M","Ryanair"
"BAW473","0,435875000000038","-16,69921875","41,2837857352364","2,07833828112078","318,999999999999","08:20:16:000","223,515276217011","False","NATPI2Q","SID_24_1","A21N","British Airways"
"ASL79V","0,374000000000024","-10,1953125","41,2810985680821","2,0709074079046","593,999999999999","08:22:00:000","226,835096505956","False","DIPES1Q","SID_24_3","A320","ASL Airlines"
"FIN07RT","0,046750000000003","-10,37109375","41,2836396231612","2,0779258396354","193,999999999999","08:23:32:000","223,734487279329","False","AGENA5Q","SID_24_3","A321","Finnair"
"RUK69FL","0,259875000000022","-14,58984375","41,2799490379295","2,06746870122146","593,999999999999","08:29:36:000","228,145289995132","False","NATPI2Q","SID_24_1","B738","RusJet"
"VLG6LR","1,04224999999997","0","41,2812128294028","2,07144451536676","633,467839999999","08:30:49:218","226,541435352877","False","AGENA5Q","SID_24_3","A20N","Vueling"
"WMT79","0,295625000000001","-13,18359375","41,2825663665497","2,07490423757385","368,999999999999","08:39:40:000","225,214144158106","False","AGENA5Q","SID_24_3","A21N","Wizz Air Malta"
"EZY16QD","1,574375","0","41,2827483802764","2,07576171884522","257,655039999999","08:40:57:421","224,670534172861","False","NATPI2Q","SID_24_1","A320","easyJet"
"VLG2KX","2,00612499999997","0","41,2819977386959","2,0738205273234","408,305279999999","08:42:17:460","225,48689476649","False","OLOXO1Q","SID_24_1","A321","Vueling"
"RYR9ZC","0,566500000000019","-15,1171875","41,2798185562402","2,06727872570002","618,999999999999","08:44:01:000","228,142714341342","False","SENIA5Q","SID_24_2","B738","Ryanair"
"RYR17TT","1,54274999999998","0","41,2807120075625","2,06979142499278","557,167359999999","08:45:21:554","227,265473892734","False","AGENA5Q","SID_24_3","B738","Ryanair"
"IBE30HR","1,01337499999997","0","41,2821233830592","2,07395922212564","358,792959999999","08:46:37:554","225,513352296273","False","SENIA5Q","SID_24_2","A320","Iberia"
"RYR49YA","1,35162499999998","0","41,2805477392442","2,06937017604033","455,054079999999","08:48:01:617","227,403198747208","False","DIPES1Q","SID_24_3","B738","Ryanair"
"VLG7SV","0,0715000000000146","-11,6015625","41,2808679898626","2,07071258516853","593,999999999999","08:49:21:000","226,733450308047","False","OLOXO1Q","SID_24_1","A20N","Vueling"
"EJU43XT","1,18662499999999","0","41,2826791346905","2,0753813198783","307,167359999999","08:51:09:664","224,927439561169","False","OLOXO1Q","SID_24_1","A320","easyJet Europe"
"VLG6TM","2,41999999999996","0","41,2811771974137","2,0712972687692","533,792959999999","08:52:41:710","226,617766854309","False","DIPES1Q","SID_24_3","A321","Vueling"
"TRA35B","1,66512499999999","0","41,2810664416012","2,0702633066515","484,118079999999","08:53:49:734","227,294539036891","False","OLOXO1Q","SID_24_1","B738","Transavia"
"ELY394","1,55099999999999","0","41,2807722851591","2,07041476243204","659,768319999999","08:54:53:757","226,858141108258","False","DIPES1Q","SID_24_3","B739","El Al Israel Airlines"
